施設名,施設名(英語),カテゴリ,都道府県名,市区町村名,行政区名,住所,住所(かな),電話番号,対象地区,対象に対する記述,緯度,経度,海抜(m),避難所高さ(m),許容人数,洪水対応,土砂災害対応,高潮対応,地震対応,津波対応,浸水対応,大火事対応,噴火対応,説明(日本語),説明(英語),標準地域コード
鮫浜小学校,Samehama E. Sch.,避難所,東京都,"","",品川区東大井2-10-14,"",03-3474-4923,東大井1丁目(一部)、東大井2丁目(一部),鮫洲北町会、△大井元芝町会、△鮫洲曙町会、鮫洲南町会、北浜川東町会、北浜川仲町会,35.601716,139.740669,"","","","","","","","","","","",地震等による家屋の倒壊、焼失などで被害を受けた方、また、被害を受ける恐れのある方を一時的に受け入れ、保護するために開設するもの。,"",http://statdb.nstac.go.jp/lod/sac/C13109
浜川中学校,Hamakawa Jr. H. Sch.,避難所,東京都,"","",品川区東大井3-18-34,"",03-3761-1014,東大井2丁目(一部)、東大井3丁目(一部)、東大井6丁目(一部),大井関ヶ原町会、北浜川西町会,35.6002,139.737944,"","","","","","","","","","","",地震等による家屋の倒壊、焼失などで被害を受けた方、また、被害を受ける恐れのある方を一時的に受け入れ、保護するために開設するもの。,"",http://statdb.nstac.go.jp/lod/sac/C13109
浜川小学校,Hamakawa E. Sch.,避難所,東京都,"","",品川区南大井4-3-27,"",03-3761-0530,南大井1丁目(一部)、南大井4丁目(一部)、南大井5丁目(一部)、東大井6丁目(一部),大井寺下町会、△南大井第四町会、△大井南浜町会、,35.59828,139.736203,"","","","","","","","","","","",地震等による家屋の倒壊、焼失などで被害を受けた方、また、被害を受ける恐れのある方を一時的に受け入れ、保護するために開設するもの。,"",http://statdb.nstac.go.jp/lod/sac/C13109
鈴ケ森小学校,Suzugamori E. Sch.,避難所,東京都,"","",品川区南大井4-16-2,"",03-3763-6631,南大井3丁目全域、南大井5丁目(一部)、南大井6丁目(一部),大井水神町会、大井坂下町会、大森駅前住宅自治会、△鈴ケ森町会、△大井海岸町会,35.594478,139.735242,"","","","","","","","","","","",地震等による家屋の倒壊、焼失などで被害を受けた方、また、被害を受ける恐れのある方を一時的に受け入れ、保護するために開設するもの。,"",http://statdb.nstac.go.jp/lod/sac/C13109
鈴ケ森中学校,Suzugamori Jr. H. Sch.,避難所,東京都,"","",品川区南大井2-3-14,"",03-3765-2849,南大井1丁目(一部)、南大井2丁目全域、勝島1丁目全域、勝島2丁目全域,△鈴ケ森町会、△大井海岸町会、勝島町会、勝島公務員住宅自治会、△大井南浜町会、△南大井第四町会、,35.593149,139.73778,"","","","","","","","","","","",地震等による家屋の倒壊、焼失などで被害を受けた方、また、被害を受ける恐れのある方を一時的に受け入れ、保護するために開設するもの。,"",http://statdb.nstac.go.jp/lod/sac/C13109
山中小学校,Yamanaka E. Sch.,避難所,東京都,"","",品川区大井3-7-19,"",03-3772-3006,大井1丁目全域、大井2丁目全域、大井3丁目全域、二葉1丁目(一部),大井一丁目権現町会、大井一丁目鎧町会、大井三丁目町会、大井森下町会、大井二丁目町会,35.602788,139.729925,"","","","","","","","","","","",地震等による家屋の倒壊、焼失などで被害を受けた方、また、被害を受ける恐れのある方を一時的に受け入れ、保護するために開設するもの。,"",http://statdb.nstac.go.jp/lod/sac/C13109
伊藤学園,Integrated E. & Jr. H. Sch. Ito-gakuen,避難所,東京都,"","",品川区大井5-1-37,"",03-3771-3374,大井5丁目全域、西大井1丁目全域,大井滝王子町会、西大井1丁目町会,35.600152,139.726095,"","","","","","","","","","","",地震等による家屋の倒壊、焼失などで被害を受けた方、また、被害を受ける恐れのある方を一時的に受け入れ、保護するために開設するもの。,"",http://statdb.nstac.go.jp/lod/sac/C13109
大井第一小学校,Oi-dai-ichi E. Sch.,避難所,東京都,"","",品川区大井6-1-32,"",03-3771-5240,大井4丁目全域、大井6丁目全域、大井7丁目(一部),大井鹿島町会、大井庚塚町会、大井倉田町会,35.598722,139.731187,"","","","","","","","","","","",地震等による家屋の倒壊、焼失などで被害を受けた方、また、被害を受ける恐れのある方を一時的に受け入れ、保護するために開設するもの。,"",http://statdb.nstac.go.jp/lod/sac/C13109
ウェルカムセンター原,Welcome Ctr. Hara,避難所,東京都,"","",品川区西大井2-5-21,"",03-5742-4660,大井7丁目(一部)、西大井2丁目(一部)、西大井3丁目全域,出石町会、西大井二丁目町会,35.599255,139.721865,"","","","","","","","","","","",地震等による家屋の倒壊、焼失などで被害を受けた方、また、被害を受ける恐れのある方を一時的に受け入れ、保護するために開設するもの。,"",http://statdb.nstac.go.jp/lod/sac/C13109
伊藤小学校,Ito E. Sch.,避難所,東京都,"","",品川区西大井5-6-8,"",03-3771-5289,西大井2丁目(一部)、西大井4丁目全域、西大井6丁目(一部),西大井四丁目町会、西大井六丁目町会,35.598755,139.717279,"","","","","","","","","","","",地震等による家屋の倒壊、焼失などで被害を受けた方、また、被害を受ける恐れのある方を一時的に受け入れ、保護するために開設するもの。,"",http://statdb.nstac.go.jp/lod/sac/C13109
冨士見台中学校,Fujimidai Jr. H. Sch.,避難所,東京都,"","",品川区西大井5-5-14,"",03-3772-0900,西大井5丁目全域,西大井五丁目伊藤町会,35.598555,139.715263,"","","","","","","","","","","",地震等による家屋の倒壊、焼失などで被害を受けた方、また、被害を受ける恐れのある方を一時的に受け入れ、保護するために開設するもの。,"",http://statdb.nstac.go.jp/lod/sac/C13109
小山台小学校,Koyamadai E. Sch.,避難所,東京都,"","",品川区小山台1-18-24,"",03-3712-7692,小山台1丁目全域、小山台2丁目(一部),小山台1丁目町会、小山台1丁目東町会、小山台2丁目町会,35.622793,139.703471,"","","","","","","","","","","",地震等による家屋の倒壊、焼失などで被害を受けた方、また、被害を受ける恐れのある方を一時的に受け入れ、保護するために開設するもの。,"",http://statdb.nstac.go.jp/lod/sac/C13109
後地小学校,Usiroji E. Sch.,避難所,東京都,"","",品川区小山2-4-6,"",03-3781-0890,小山1丁目(一部)、小山2丁目全域,小山1丁目町会、小山2丁目東部町会、小山2丁目西部町会,35.621568,139.708571,"","","","","","","","","","","",地震等による家屋の倒壊、焼失などで被害を受けた方、また、被害を受ける恐れのある方を一時的に受け入れ、保護するために開設するもの。,"",http://statdb.nstac.go.jp/lod/sac/C13109
小山小学校,Koyama E. Sch.,避難所,東京都,"","",品川区小山5-10-6,"",03-3781-0282,小山3丁目全域、小山4丁目全域、荏原5丁目全域,小山3丁目町会、小山4丁目町会、荏原5丁目町会,35.616002,139.703249,"","","","","","","","","","","",地震等による家屋の倒壊、焼失などで被害を受けた方、また、被害を受ける恐れのある方を一時的に受け入れ、保護するために開設するもの。,"",http://statdb.nstac.go.jp/lod/sac/C13109
荏原第一中学校,Ebara-dai-ichi Jr. H. Sch.,避難所,東京都,"","",品川区荏原1-24-30,"",03-3785-1680,荏原1丁目(一部)、荏原2丁目(一部),荏原1丁目町会、荏原2丁目町会,35.619447,139.712868,"","","","","","","","","","","",地震等による家屋の倒壊、焼失などで被害を受けた方、また、被害を受ける恐れのある方を一時的に受け入れ、保護するために開設するもの。,"",http://statdb.nstac.go.jp/lod/sac/C13109
荏原第六中学校,Ebara-dai-roku Jr. H. Sch.,避難所,東京都,"","",品川区小山5-20-19,"",03-3781-7776,小山5丁目全域,小山5丁目町会,35.616363,139.699877,"","","","","","","","","","","",地震等による家屋の倒壊、焼失などで被害を受けた方、また、被害を受ける恐れのある方を一時的に受け入れ、保護するために開設するもの。,"",http://statdb.nstac.go.jp/lod/sac/C13109
第二延山小学校,Dai-ni-enzan E. Sch.,避難所,東京都,"","",品川区旗の台1-6-1,"",03-3781-1466,小山6丁目全域、小山7丁目全域、荏原6丁目(一部)、荏原7丁目全域、旗の台1丁目全域,小山6丁目町会、小山7丁目町会、荏原6丁目町会、荏原7丁目町会、旗の台1丁目町会,35.61012,139.703613,"","","","","","","","","","","",地震等による家屋の倒壊、焼失などで被害を受けた方、また、被害を受ける恐れのある方を一時的に受け入れ、保護するために開設するもの。,"",http://statdb.nstac.go.jp/lod/sac/C13109
清水台小学校,Shimizudai E. Sch.,避難所,東京都,"","",品川区旗の台1-11-17,"",03-3781-4841,旗の台2丁目全域、旗の台6丁目(一部),小山洗足町会、旗の台2丁目町会、旗の台西2丁目町会、旗の台6丁目町会、東洗足自治会,35.60742,139.70233,"","","","","","","","","","","",地震等による家屋の倒壊、焼失などで被害を受けた方、また、被害を受ける恐れのある方を一時的に受け入れ、保護するために開設するもの。,"",http://statdb.nstac.go.jp/lod/sac/C13109
京陽小学校,Keiyo E. Sch.,避難所,東京都,"","",品川区平塚2-19-20,"",03-3781-0058,平塚1丁目(一部)、平塚2丁目全域、荏原1丁目(一部)、荏原2丁目(一部),平塚1丁目町会、平塚2丁目町会、中原共和町会,35.615116,139.713079,"","","","","","","","","","","",地震等による家屋の倒壊、焼失などで被害を受けた方、また、被害を受ける恐れのある方を一時的に受け入れ、保護するために開設するもの。,"",http://statdb.nstac.go.jp/lod/sac/C13109
荏原平塚学園,Integrated E. & Jr. H. Sch. Ebara-hiratsuka-gakuen,避難所,東京都,"","",品川区平塚3-16-26,"",03-3782-7770,西中延1丁目(一部)、東中延1丁目全域、荏原2丁目(一部)、戸越5丁目(一部)、平塚1丁目(一部)、平塚3丁目全域,荏原平塚学園、平塚1丁目南部町会、平塚3丁目町会、東中延1丁目町会、西中延自治会,35.615325,139.710101,"","","","","","","","","","","",地震等による家屋の倒壊、焼失などで被害を受けた方、また、被害を受ける恐れのある方を一時的に受け入れ、保護するために開設するもの。,"",http://statdb.nstac.go.jp/lod/sac/C13109
スクエア荏原（平塚小学校跡地）,"",避難所,東京都,"","",品川区荏原4-5-28,"",03-5788-5321,西中延1丁目(一部)、荏原3丁目全域、荏原4丁目全域,平塚4丁目町会、荏原3丁目町会、荏原4丁目町会,35.615344,139.707492,"","","","","","","","","","","",地震等による家屋の倒壊、焼失などで被害を受けた方、また、被害を受ける恐れのある方を一時的に受け入れ、保護するために開設するもの。,"",http://statdb.nstac.go.jp/lod/sac/C13109
中延小学校,Nakanobu E. Sch.,避難所,東京都,"","",品川区中延1-11-15,"",03-3781-4031,中延1丁目全域、中延2丁目(一部)、西中延1丁目(一部)、荏原6丁目(一部),中延1丁目町会、西中延1丁目町会,35.612567,139.709502,"","","","","","","","","","","",地震等による家屋の倒壊、焼失などで被害を受けた方、また、被害を受ける恐れのある方を一時的に受け入れ、保護するために開設するもの。,"",http://statdb.nstac.go.jp/lod/sac/C13109
延山小学校,Enzan E. Sch.,避難所,東京都,"","",品川区西中延2-17-5,"",03-3781-3806,中延2丁目(一部)、中延3丁目全域、西中延2丁目全域、西中延3丁目全域,中延2丁目町会、西中延2丁目町会、中延3丁目町会、西中延3丁目町会,35.609012,139.708082,"","","","","","","","","","","",地震等による家屋の倒壊、焼失などで被害を受けた方、また、被害を受ける恐れのある方を一時的に受け入れ、保護するために開設するもの。,"",http://statdb.nstac.go.jp/lod/sac/C13109
戸越台中学校,Togoshidai Jr. H. Sch.,避難所,東京都,"","",品川区戸越1-15-23,"",03-3781-6250,戸越1丁目(一部)、戸越2丁目全域、戸越3丁目(一部),戸越銀座町会、戸越1丁目町会、戸越2丁目町会,35.615706,139.717587,"","","","","","","","","","","",地震等による家屋の倒壊、焼失などで被害を受けた方、また、被害を受ける恐れのある方を一時的に受け入れ、保護するために開設するもの。,"",http://statdb.nstac.go.jp/lod/sac/C13109
宮前小学校,Miyamae E. Sch.,避難所,東京都,"","",品川区戸越4-5-10,"",03-3781-4386,戸越3丁目(一部)、戸越4丁目全域、戸越5丁目(一部),戸越3丁目町会、戸越4丁目町会、戸越5丁目町会,35.611878,139.718329,"","","","","","","","","","","",地震等による家屋の倒壊、焼失などで被害を受けた方、また、被害を受ける恐れのある方を一時的に受け入れ、保護するために開設するもの。,"",http://statdb.nstac.go.jp/lod/sac/C13109
大原小学校,Ohara E. Sch.,避難所,東京都,"","",品川区戸越6-17-3,"",03-3781-4487,東中延2丁目(一部)、戸越6丁目(一部)、中延4丁目(一部),東中延2丁目町会、戸越6丁目町会,35.607323,139.715998,"","","","","","","","","","","",地震等による家屋の倒壊、焼失などで被害を受けた方、また、被害を受ける恐れのある方を一時的に受け入れ、保護するために開設するもの。,"",http://statdb.nstac.go.jp/lod/sac/C13109
源氏前小学校,Genjimae E. Sch.,避難所,東京都,"","",品川区中延6-2-18,"",03-3781-0040,中延4丁目全域、中延5丁目(一部)、中延6丁目(一部)、東中延2丁目(一部)、豊町6丁目(一部)、戸越6丁目(一部)、二葉4丁目(一部)、西大井6丁目(一部),中延4丁目町会、荏原町町会、△東中三町会、中延6丁目町会,35.603448,139.711677,"","","","","","","","","","","",地震等による家屋の倒壊、焼失などで被害を受けた方、また、被害を受ける恐れのある方を一時的に受け入れ、保護するために開設するもの。,"",http://statdb.nstac.go.jp/lod/sac/C13109
上神明小学校,Kami-shinmei E. Sch.,避難所,東京都,"","",品川区二葉4-4-10,"",03-3781-4633,豊町6丁目全域、二葉4丁目(一部)、西大井6丁目(一部)、中延4丁目(一部)、東中延2丁目(一部)、戸越6丁目(一部),豊町6丁目町会、二葉4丁目町会、△東中三町会,35.603079,139.715082,"","","","","","","","","","","",地震等による家屋の倒壊、焼失などで被害を受けた方、また、被害を受ける恐れのある方を一時的に受け入れ、保護するために開設するもの。,"",http://statdb.nstac.go.jp/lod/sac/C13109
旗台小学校,Hatanodai E. Sch.,避難所,東京都,"","",品川区旗の台4-7-11,"",03-3785-1729,中延5丁目(一部)、旗の台4丁目全域,中延5丁目町会、旗の台4丁目町会,35.603354,139.704194,"","","","","","","","","","","",地震等による家屋の倒壊、焼失などで被害を受けた方、また、被害を受ける恐れのある方を一時的に受け入れ、保護するために開設するもの。,"",http://statdb.nstac.go.jp/lod/sac/C13109
荏原第五中学校,Ebara-dai-go Jr. H. Sch.,避難所,東京都,"","",品川区旗の台5-11-13,"",03-3781-5643,旗の台3丁目全域、旗の台5丁目全域、旗の台6丁目(一部),旗の台3丁目町会、旗の台5丁目町会、旗の台南町会,35.603156,139.702102,"","","","","","","","","","","",地震等による家屋の倒壊、焼失などで被害を受けた方、また、被害を受ける恐れのある方を一時的に受け入れ、保護するために開設するもの。,"",http://statdb.nstac.go.jp/lod/sac/C13109
戸越小学校,Togoshi E. Sch.,避難所,東京都,"","",品川区豊町2-1-20,"",03-3781-2833,豊町1丁目全域、豊町2丁目全域、西品川1丁目(一部)、西品川2丁目(一部),豊町1丁目町会、豊町2丁目親和会,35.610762,139.720973,"","","","","","","","","","","",地震等による家屋の倒壊、焼失などで被害を受けた方、また、被害を受ける恐れのある方を一時的に受け入れ、保護するために開設するもの。,"",http://statdb.nstac.go.jp/lod/sac/C13109
旧荏原第四中学校,Ebara-dai-yon Jr. H. Sch.,避難所,東京都,"","",品川区豊町3-5-31,"","",豊町3丁目全域、豊町4丁目（一部）,豊町3丁目町会、豊町4丁目町会（一部）,35.609009,139.721045,"","","","","","","","","","","",地震等による家屋の倒壊、焼失などで被害を受けた方、また、被害を受ける恐れのある方を一時的に受け入れ、保護するために開設するもの。,"",http://statdb.nstac.go.jp/lod/sac/C13109
豊葉の杜学園,"",避難所,東京都,"","",品川区二葉1-3-40,"",03-3782-2930,二葉1丁目全域、二葉2丁目(一部)、大井2丁目(一部)、広町2丁目(一部),二葉1丁目町会、二葉神明町会、二葉2丁目町会、二葉中央町会（一部）,35.607287,139.725687,"","","","","","","","","","","",地震等による家屋の倒壊、焼失などで被害を受けた方、また、被害を受ける恐れのある方を一時的に受け入れ、保護するために開設するもの。,"",http://statdb.nstac.go.jp/lod/sac/C13109
旧杜松小学校(杜松ホーム),Tosho E. Sch.,避難所,東京都,"","",品川区豊町4-24-15,"",03-6426-8213 ,豊町4丁目（一部）、豊町5丁目全域、二葉2丁目(一部)、二葉3丁目全域,豊町4丁目町会、豊町5丁目町会、二葉中央町会、二葉3丁目町会,35.606135,139.722764,"","","","","","","","","","","",地震等による家屋の倒壊、焼失などで被害を受けた方、また、被害を受ける恐れのある方を一時的に受け入れ、保護するために開設するもの。,"",http://statdb.nstac.go.jp/lod/sac/C13109
明晴学園,Meisei Gakuen,避難所,東京都,"","",品川区八潮5-2-1,"",03-6380-6775,1号棟〜10号棟(八潮5丁目1〜3番)、品川総合福祉センター、八潮1丁目〜八潮3丁目,八潮1号棟自治会、品川八潮2号棟自治会、八潮団地都営3号棟自治会、八潮4号棟自治会、品川八潮5号棟自治会、八潮ハイツ自治会、八潮パークタウン第7号棟自治会,35.603872,139.753107,"","","","","","","","","","","",地震等による家屋の倒壊、焼失などで被害を受けた方、また、被害を受ける恐れのある方を一時的に受け入れ、保護するために開設するもの。,"",http://statdb.nstac.go.jp/lod/sac/C13109
八潮学園,Integrated E. & Jr. H. Sch. Yashio-gakuen ,避難所,東京都,"","",品川区八潮5-11-2,"",03-3799-1641,11号棟〜23号棟、51〜69号棟、八潮わかくさ荘(八潮5丁目3〜5番、10〜12番),八潮11号棟自治会、八潮12号棟自治会、コーシャハイム八潮西自治会、シティコープ八潮浜自治会、潮路東ハイツ自治会、八潮58、59号棟自治会 八潮60号棟自治会、八潮わかくさ荘自治会、69号棟自治会、八潮パークタウン潮路北第1ハイツ自治会,35.601392,139.75253,"","","","","","","","","","","",地震等による家屋の倒壊、焼失などで被害を受けた方、また、被害を受ける恐れのある方を一時的に受け入れ、保護するために開設するもの。,"",http://statdb.nstac.go.jp/lod/sac/C13109
こみゅにてぃぷらざ八潮,"",避難所,東京都,"","",品川区八潮5-9-11,"",03-3799-2021,24号棟〜50号棟、八潮寮(八潮5丁目6番、8番、10番)、八潮4丁目,八潮パークタウン潮路南第二ハイツ自治会、八潮パークタウン潮路南第一ハイツ自治会、八潮40号棟自治会、第41号棟自治会、42号棟自治会、八潮43号棟自治会、シティコープ八潮台自治会、八潮南47号棟自治会、八潮5丁目48号棟自治会、八潮49号棟自治会、50号棟自治会、八潮寮自治会,35.5982,139.752355,"","","","","","","","","","","",地震等による家屋の倒壊、焼失などで被害を受けた方、また、被害を受ける恐れのある方を一時的に受け入れ、保護するために開設するもの。,"",http://statdb.nstac.go.jp/lod/sac/C13109
高輪三丁目・四丁目・御殿山地区,"",広域避難場所,東京都,"","",港区高輪、品川区北品川,"","",北品川5〜6丁目、4丁目の一部、東五反田1、3丁目の各一部,"",35.6222,139.737005,"","","","","","","","","","","",大地震時に発生する延焼火災等の危険から避難者の身の安全を確保し、火勢の弱まりを待つ場所,"",http://statdb.nstac.go.jp/lod/sac/C13109
自然教育園・聖心女子学院一帯,"",広域避難場所,東京都,"","",港区白金、白金台,"","",荏原1丁目の一部、上大崎1〜4丁目、西五反田3、5、6丁目の各一部、東五反田4丁目、①3丁目の各一部,"",35.636276,139.720726,"","","","","","","","","","","",大地震時に発生する延焼火災等の危険から避難者の身の安全を確保し、火勢の弱まりを待つ場所,"",http://statdb.nstac.go.jp/lod/sac/C13109
JRアパート・品川区役所一帯,"",広域避難場所,東京都,"","",品川区広町,"","",大井1〜3丁目、戸越1丁目、3丁目の一部、西品川3丁目、1〜2丁目の各一部、広町2丁目、二葉1丁目、2丁目の一部,"",35.609226,139.730186,"","","","","","","","","","","",大地震時に発生する延焼火災等の危険から避難者の身の安全を確保し、火勢の弱まりを待つ場所,"",http://statdb.nstac.go.jp/lod/sac/C13109
