施設名,施設名(英語),カテゴリ,都道府県名,市区町村名,行政区名,住所,住所(かな),電話番号,対象地区,対象に対する記述,緯度,経度,海抜(m),避難所高さ(m),許容人数,洪水対応,土砂災害対応,高潮対応,地震対応,津波対応,浸水対応,大火事対応,噴火対応,説明(日本語),説明(英語),標準地域コード
柳沢商会駐車場前日本生命ビル前歩道,"",一時集合場所,"","","","","","",大崎第一地区,"",35.372736,139.432742,"","","","","","","","","","","",西五反田一丁目町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
大崎橋公園,"",一時集合場所,"","","","","","",大崎第一地区,"",35.3729,139.4326,"","","","","","","","","","","",五反田睦町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
ポーラ化粧品本舗玄関前広場他は各班ごとに指定,"",一時集合場所,"","","","","","",大崎第一地区,"",35.374,139.4316,"","","","","","","","","","","",西五反田一・二・三町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
天理教教会,"",一時集合場所,"","","","","","",大崎第一地区,"",35.3739,139.4337,"","","","","","","","","","","",池田山町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
清泉女子大学正門前,"",一時集合場所,"","","","","","",大崎第一地区,"",35.373716,139.434607,"","","","","","","","","","","",島津山自生会,"",http://statdb.nstac.go.jp/lod/sac/C13109
妙連山本立寺境内,"",一時集合場所,"","","","","","",大崎第一地区,"",35.3746,139.4346,"","","","","","","","","","","",袖が崎町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
東五反田児童遊園,"",一時集合場所,"","","","","","",大崎第一地区,"",35.3744,139.4315,"","","","","","","","","","","",相生会,"",http://statdb.nstac.go.jp/lod/sac/C13109
本願寺,"",一時集合場所,"","","","","","",大崎第一地区,"",35.383,139.4329,"","","","","","","","","","","",上大崎一丁目町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
上大崎公園,"",一時集合場所,"","","","","","",大崎第一地区,"",35.388,139.4318,"","","","","","","","","","","",上大崎一丁目愛誠会、上大崎一丁目第一愛誠会,"",http://statdb.nstac.go.jp/lod/sac/C13109
第三日野小学校,"",一時集合場所,"","","","","","",大崎第一地区,"",35.3758,139.4326,"","","","","","","","","","","",上大崎一丁目愛誠会、上大崎池の谷町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
誕生八幡神社,"",一時集合場所,"","","","","","",大崎第一地区,"",35.383,139.433,"","","","","","","","","","","",上大崎目黒駅前町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
五反田公共職業安定所前みやこ荘前,"",一時集合場所,"","","","","","",大崎第一地区,"",35.3935,139.4517,"","","","","","","","","","","",上大崎三丁目町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
旧荏原市場跡地パークマンション前,"",一時集合場所,"","","","","","",大崎第一地区,"",35.374,139.431,"","","","","","","","","","","",夕陽会,"",http://statdb.nstac.go.jp/lod/sac/C13109
目黒駅西口前路上,"",一時集合場所,"","","","","","",大崎第一地区,"",35.382,139.4255,"","","","","","","","","","","",目黒駅前西口町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
上大崎3丁目8番先路上,"",一時集合場所,"","","","","","",大崎第一地区,"",35.3756,139.4311,"","","","","","","","","","","",中丸親和町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
上大崎2・7・17先路上,"",一時集合場所,"","","","","","",大崎第一地区,"",35.3816,139.4258,"","","","","","","","","","","",上大崎長者丸町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
環六歩道上(大崎郵便局前),"",一時集合場所,"","","","","","",大崎第一地区,"",35.373058,139.4372,"","","","","","","","","","","",西五反田本町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
環六歩道上(マツダ五反田営業所前),"",一時集合場所,"","","","","","",大崎第一地区,"",35.373113,139.43436,"","","","","","","","","","","",西五反田七・五・三町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
第四日野小学校,"",一時集合場所,"","","","","","",大崎第一地区,"",35.3733,139.4244,"","","","","","","","","","","",大崎本町三丁目町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
かむろ坂公園,"",一時集合場所,"","","","","","",大崎第一地区,"",35.3731,139.4242,"","","","","","","","","","","",西五反田四丁目町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
西霧ケ谷公園,"",一時集合場所,"","","","","","",大崎第一地区,"",35.3723,139.4244,"","","","","","","","","","","",西五反田五丁目西三町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
第一日野小学校,"",一時集合場所,"","","","","","",大崎第一地区,"",35.372,139.4258,"","","","","","","","","","","",西五反田協和町会、西五反田六丁目町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
御成橋公園,"",一時集合場所,"","","","","","",大崎第一地区,"",35.372,139.4345,"","","","","","","","","","","",都営東五反田二丁目アパ一ト自治会,"",http://statdb.nstac.go.jp/lod/sac/C13109
西八丁公園,"",一時集合場所,"","","","","","",大崎第一地区,"",35.378,139.437,"","","","","","","","","","","",西五反田南町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
西五反田6丁目児童遊園,"",一時集合場所,"","","","","","",大崎第一地区,"",35.3715,139.433,"","","","","","","","","","","",西五反田南町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
西品川1丁目防災活動広場,"",一時集合場所,"","","","","","",大崎第二地区,"",35.3643,139.4344,"","","","","","","","","","","",西品川三栄会,"",http://statdb.nstac.go.jp/lod/sac/C13109
西品川公園,"",一時集合場所,"","","","","","",大崎第二地区,"",35.3647,139.435,"","","","","","","","","","","",協力睦会,"",http://statdb.nstac.go.jp/lod/sac/C13109
大崎中学校,"",一時集合場所,"","","","","","","大崎第二地区,荏原第三地区","",35.3657,139.4323,"","","","","","","","","","","","品川尚和会,戸越一丁目町会","",http://statdb.nstac.go.jp/lod/sac/C13109
三木小学校,"",一時集合場所,"","","","","","",大崎第二地区,"",35.3656,139.4337,"","","","","","","","","","","",西品川新生会,"",http://statdb.nstac.go.jp/lod/sac/C13109
そよかぜ公園,"",一時集合場所,"","","","","","",大崎第二地区,"",35.3642,139.4335,"","","","","","","","","","","",西品川二丁目会,"",http://statdb.nstac.go.jp/lod/sac/C13109
三ツ木公園,"",一時集合場所,"","","","","","",大崎第二地区,"",35.365,139.4335,"","","","","","","","","","","",西品川三ツ木会,"",http://statdb.nstac.go.jp/lod/sac/C13109
芳水小学校,"",一時集合場所,"","","","","","",大崎第二地区,"",35.379,139.4329,"","","","","","","","","","","",大崎一二三町会、大崎ウェストシティタワーズ自治会,"",http://statdb.nstac.go.jp/lod/sac/C13109
磯田ビル前歩道,"",一時集合場所,"","","","","","",大崎第二地区,"",35.37487,139.435486,"","","","","","","","","","","",大崎居木橋町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
立正大学,"",一時集合場所,"","","","","","",大崎第二地区,"",35.3714,139.4325,"","","","","","","","","","","",大崎四丁目町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
峰原公園,"",一時集合場所,"","","","","","",大崎第二地区,"",35.374,139.4314,"","","","","","","","","","","",大崎四丁目町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
大崎5丁目児童遊園,"",一時集合場所,"","","","","","",大崎第二地区,"",35.3719,139.4331,"","","","","","","","","","","",大崎三五町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
都立産業技術高等専門学校グランド,"",一時集合場所,"","","","","","",大井第一地区,"",35.3625,139.4456,"","","","","","","","","","","",鮫洲曙町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
鮫洲運動公園,"",一時集合場所,"","","","","","",大井第一地区,"",35.3621,139.4442,"","","","","","","","","","","",鮫洲北町会、鮫洲仲町会,"",http://statdb.nstac.go.jp/lod/sac/C13109
